candidate_id,name,email,phone,experience_years,experience_level,education,certifications
1,Alexander Gonzalez,alexander.gonzalez509@yahoo.com,254.307.4381x5507,3,mid,Bachelor's in Computer Science,"CompTIA Network+, GIAC Security Essentials (GSEC)"
2,Kimberly Lopez,kimberly.lopez5725@gmail.com,(434)722-2290,5,mid,Master's in Computer Science,"CompTIA Security+, CompTIA A+, CISSP"
3,Gabriel Cortez,gabriel.cortez591@hotmail.com,001-978-591-8437x235,3,mid,Bachelor's in Network Engineering,"CompTIA Network+, GIAC Security Essentials (GSEC)"
4,Cody Harris,cody.harris1471@yahoo.com,+1-785-521-6229,2,entry,Bachelor's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+"
5,Chad Conley,chad.conley2936@yahoo.com,216-685-3029x02306,6,mid,Master's in Information Security,"CompTIA Network+, GIAC Security Essentials (GSEC), CISSP, CEH"
6,Jared Wilson,jared.wilson4004@yahoo.com,(309)660-1776x852,3,mid,Bachelor's in Information Technology,"CompTIA A+, CompTIA Network+"
7,Kiara Reyes,kiara.reyes981@hotmail.com,001-525-370-7463x5411,5,mid,Master's in Information Security,"CompTIA A+, CompTIA Security+, CISM"
8,Vanessa West,vanessa.west8522@yahoo.com,865.521.9752x512,5,mid,Master's in Information Security,"CompTIA Security+, GIAC Security Essentials (GSEC), GIAC Certified Incident Handler (GCIH)"
9,Henry Gonzalez,henry.gonzalez2006@yahoo.com,001-937-990-0239,4,mid,Master's in Computer Science,"CompTIA Network+, CompTIA Security+, GIAC Certified Incident Handler (GCIH)"
10,Desiree Brown,desiree.brown1962@yahoo.com,+1-492-764-2183,2,entry,Bachelor's in Computer Science,"CompTIA A+, GIAC Security Essentials (GSEC)"
11,Teresa Molina,teresa.molina3760@gmail.com,(857)650-4024x41982,0,entry,Bachelor's in Cybersecurity,
12,Kimberly Vazquez,kimberly.vazquez5635@gmail.com,+1-819-420-6873x0327,5,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Network+, GIAC Certified Incident Handler (GCIH)"
13,Angelica Edwards,angelica.edwards2668@gmail.com,771-238-2214x4580,7,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Network+, CISSP, Offensive Security Certified Professional (OSCP)"
14,Pamela Hamilton,pamela.hamilton1558@hotmail.com,+1-843-895-4315x953,5,mid,Associate's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Network+, CompTIA CySA+"
15,Lisa Smith,lisa.smith5133@yahoo.com,+1-687-826-5177x9203,2,entry,Bachelor's in Information Technology,"CompTIA Network+, CompTIA A+"
